"rho","median_N","selected","rep","retained","solver_excluded"
0.3,500,TRUE,22,196,0
0.3,500,TRUE,23,198,0
0.3,500,TRUE,24,198,0
0.3,500,TRUE,25,197,0
0.3,500,TRUE,26,197,0
0.3,500,TRUE,27,200,0
0.3,500,TRUE,28,198,0
0.3,500,TRUE,29,195,0
0.3,500,TRUE,30,196,0
0.3,500,TRUE,31,199,0
0.3,500,TRUE,32,198,0
0.3,500,TRUE,33,200,0
0.3,500,TRUE,34,200,0
0.3,500,TRUE,35,199,0
0.3,500,TRUE,36,200,0
0.3,500,TRUE,37,199,0
0.3,500,TRUE,38,200,0
0.3,500,TRUE,39,200,0
0.3,500,TRUE,40,200,0
0.3,500,TRUE,41,199,0
0.3,500,TRUE,42,200,0
0.3,500,TRUE,43,198,0
0.3,500,TRUE,44,200,0
0.3,500,TRUE,45,197,0
0.3,500,TRUE,46,199,0
0.3,500,TRUE,47,199,0
0.3,500,TRUE,48,200,0
0.3,500,TRUE,49,200,0
0.3,500,TRUE,50,200,0
0.3,500,TRUE,51,198,0
0.3,500,TRUE,52,199,0
0.3,500,TRUE,53,200,0
0.3,500,TRUE,54,198,0
0.3,500,TRUE,55,200,0
0.3,500,TRUE,56,197,0
0.3,500,TRUE,57,199,0
0.3,500,TRUE,58,198,0
0.3,500,TRUE,59,199,0
0.3,500,TRUE,60,200,0
0.3,500,TRUE,61,198,0
0.3,500,TRUE,62,199,0
0.3,500,TRUE,63,199,0
0.3,500,TRUE,64,198,0
0.3,500,TRUE,65,200,0
0.3,500,TRUE,66,198,0
0.3,500,TRUE,67,200,0
0.3,500,TRUE,68,198,0
0.3,500,TRUE,69,198,0
0.3,500,TRUE,70,197,0
0.3,500,TRUE,71,200,0
0.3,500,TRUE,72,199,0
0.3,500,TRUE,73,200,0
0.3,500,TRUE,74,199,0
0.3,500,TRUE,75,199,0
0.3,500,TRUE,76,198,0
0.3,500,TRUE,77,200,0
0.3,500,TRUE,78,198,0
0.3,500,TRUE,79,197,0
0.3,500,TRUE,80,200,0
0.3,500,TRUE,81,198,0
0.3,500,TRUE,82,197,0
0.3,500,TRUE,83,199,0
0.3,500,TRUE,84,199,0
0.3,500,TRUE,85,198,0
0.3,500,TRUE,86,199,0
0.3,500,TRUE,87,198,0
0.3,500,TRUE,88,199,0
0.3,500,TRUE,89,200,0
0.3,500,TRUE,90,197,0
0.3,500,TRUE,91,199,0
0.3,500,TRUE,92,200,0
0.3,500,TRUE,93,200,0
0.3,500,TRUE,94,198,0
0.3,500,TRUE,95,199,0
0.3,500,TRUE,96,199,0
0.3,500,TRUE,97,199,0
0.3,500,TRUE,98,200,0
0.3,500,TRUE,99,197,0
0.3,500,TRUE,100,200,0
