"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,48,"capped_safeguard",123,-0.00955379853147805,-0.0869191082536513,70.9861213528813,0.113821138211382,0.272479564032698
0.1,100,FALSE,49,"point",119,0.00702429533613114,-0.00564367350139342,60.6155713348805,0,0.207831325301205
0.1,100,FALSE,49,"safeguard",119,1.00699864391742,0.994219967941417,60.6155713348805,0.504201680672269,1
0.1,100,FALSE,49,"original_size",119,-0.370908888925161,-0.00560898017248648,60.6155713348805,0.109243697478992,0.125925925925926
0.1,100,FALSE,49,"capped_safeguard",119,-0.0141317695144972,-0.106354822148333,60.6155713348805,0.109243697478992,0.296208530805687
0.1,100,FALSE,50,"point",122,0.00201960774905536,-0.00791254896030114,64.7652748951649,0,0.247240217572131
0.1,100,FALSE,50,"safeguard",122,1.00194313506217,0.992012879343416,64.7652748951649,0.483606557377049,0.988967611336032
0.1,100,FALSE,50,"original_size",122,-0.31472783426176,-0.00754750026782437,64.7652748951649,0.0573770491803279,0.189748601851724
0.1,100,FALSE,50,"capped_safeguard",122,-0.00917453467086673,-0.10167271313739,64.7652748951649,0.131147540983607,0.392452597882295
0.1,100,FALSE,51,"point",114,0.00124250198169988,-0.0160989905413911,58.5112859758574,0,0.244208608293115
0.1,100,FALSE,51,"safeguard",114,1.0009479194563,0.983914925530008,58.5112859758574,0.543859649122807,1.00866111823772
0.1,100,FALSE,51,"original_size",114,-0.37177901385674,-0.0166409768603243,58.5112859758574,0.12280701754386,0.179440600335605
0.1,100,FALSE,51,"capped_safeguard",114,-0.0299788277539388,-0.169318014725803,58.5112859758574,0.166666666666667,0.426050659055045
0.1,100,FALSE,52,"point",122,-0.00351687327448974,0.00217997187529542,59.7939867176049,0,0.240242461027345
0.1,100,FALSE,52,"safeguard",122,0.996498960618986,1.00221448963054,59.7939867176049,0.483606557377049,0.982534244267917
0.1,100,FALSE,52,"original_size",122,-0.278794524558468,0.00230941269960304,59.7939867176049,0.0819672131147541,0.181649831649832
0.1,100,FALSE,52,"capped_safeguard",122,-0.0214142788004775,-0.0952320387129116,59.7939867176049,0.114754098360656,0.426258698693606
0.1,100,FALSE,53,"point",122,-0.0187487616570522,-0.0174671717294379,65.9456650791047,0,0.250300128304286
0.1,100,FALSE,53,"safeguard",122,0.981192220361244,0.982688260611873,65.9456650791047,0.598360655737705,1.02363869943007
0.1,100,FALSE,53,"original_size",122,-0.471790733788321,-0.0172595440215849,65.9456650791047,0.0983606557377049,0.189556018535149
